k,t_wall,sub_eta,forecast_cycle,staleness_h,d_start,planned_b0_sog,prev_plan_b0_sog,divergence_kn,block0_fuel_mt,sub_solve_s
0,0,168,0,0,0,10.8333,,,7.14249,0.13088
1,6,162,0,6,65,11.1667,11.1667,0,8.51782,0.107191
2,12,156,0,12,132,11.3115,11.3115,0,8.07603,0.0953986
3,18,150,18,0,199.869,11.3552,11.3552,0,6.52139,0.0811699
4,24,144,24,0,268,11.6667,11.6667,0,6.58619,0.0767071
5,30,138,30,0,338,11.6667,11.6667,0,6.95436,0.0683133
6,36,132,36,0,408,11.6667,11.5,0.166667,7.87639,0.0627315
7,42,126,42,0,478,12.1667,12.1667,0,8.33953,0.0563987
8,48,120,48,0,551,12.1667,10,2.16667,7.97887,0.0530507
9,54,114,54,0,624,11.8333,12,-0.166667,7.78281,0.0462825
10,60,108,60,0,695,12.5,12.5,0,7.53501,0.0451368
11,66,102,66,0,770,11.1667,12.8333,-1.66667,6.54283,0.0371145
12,72,96,72,0,837,11.1722,11.1667,0.0055594,6.34433,0.0332063
13,78,90,78,0,904.033,11.1611,11.1611,0,5.87398,0.0290334
14,84,84,84,0,971,11.5,11.5,0,7.05553,0.0253177
15,90,78,90,0,1040,11.5,11.5,0,6.89888,0.021697
16,96,72,96,0,1109,12.5,12.5,0,8.19732,0.0178216
17,102,66,102,0,1184,11.5,11.6667,-0.166667,7.38914,0.0154449
18,108,60,108,0,1253,12.1667,12.1667,0,9.71183,0.012487
19,114,54,114,0,1326,11.6667,11.6667,0,7.77828,0.0109361
20,120,48,120,0,1396,11.6667,11.3333,0.333333,9.5407,0.00766583
21,126,42,126,0,1466,10.8333,10.6667,0.166667,6.62952,0.00594058
22,132,36,132,0,1531,10.9758,11.1667,-0.190896,6.41861,0.00380492
23,138,30,138,0,1596.85,11.5242,11.5242,0,6.0327,0.00306183
24,144,24,144,0,1666,11.3333,11.3333,0,5.88142,0.0016435
25,150,18,150,0,1734,12.6667,12.6667,0,8.22988,0.000832917
26,156,12,156,0,1810,13.1667,13.1667,0,7.13069,0.00044225
27,162,6,162,0,1889,10.9498,10.9498,0,6.0342,9.1e-05
